cnpj,razao_social,municipio,uf,cnae,score,score_label,contact_quality,site,instagram,linkedin_company,google_maps_url,tech_score,whatsapp_probable,has_whatsapp_link
85078079000126,85078079000126,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85078079000126++,,False,
85083566000187,85083566000187,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85083566000187++,,False,
85086338000160,85086338000160,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85086338000160++,,False,
85086924000105,85086924000105,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85086924000105++,,False,
85090967000164,85090967000164,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85090967000164++,,False,
85093433000191,85093433000191,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85093433000191++,,False,
85094142000118,85094142000118,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85094142000118++,,False,
85179240001804,85179240001804,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85179240001804++,,False,
85447258000193,85447258000193,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85447258000193++,,False,
85447902000123,85447902000123,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85447902000123++,,False,
85447928000171,85447928000171,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85447928000171++,,False,
85448439000134,85448439000134,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85448439000134++,,False,
85448561000100,85448561000100,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85448561000100++,,False,
85448835000161,85448835000161,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85448835000161++,,False,
85449908000130,85449908000130,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85449908000130++,,False,
85449965000119,85449965000119,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85449965000119++,,False,
85484251000141,85484251000141,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85484251000141++,,False,
85491074000201,85491074000201,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85491074000201++,,False,
85495158000132,85495158000132,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85495158000132++,,False,
85501054000193,85501054000193,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85501054000193++,,False,
85509586000177,85509586000177,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85509586000177++,,False,
85515351000198,85515351000198,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85515351000198++,,False,
85515351000279,85515351000279,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85515351000279++,,False,
85519726000198,85519726000198,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85519726000198++,,False,
86685245000115,86685245000115,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=86685245000115++,,False,
86697646000195,86697646000195,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=86697646000195++,,False,
86733821000152,86733821000152,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=86733821000152++,,False,
86740453000170,86740453000170,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=86740453000170++,,False,
86751799000173,86751799000173,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=86751799000173++,,False,
86754413000187,86754413000187,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=86754413000187++,,False,
86764420000160,86764420000160,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=86764420000160++,,False,
86797990000156,86797990000156,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=86797990000156++,,False,
86814290000122,86814290000122,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=86814290000122++,,False,
86817913000110,86817913000110,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=86817913000110++,,False,
86977253000135,86977253000135,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=86977253000135++,,False,
87165957001229,87165957001229,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=87165957001229++,,False,
